ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A274681,"https://petharbor.com/detail.asp?ID=A274681&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A274681&LOCATION=SNCR,ash,Male/Neutered,gray,russian blue mix,3 years old,8.7,S F07,True,False,3,,,,2023-10-25,"Ash and Rosie were surrendered to the Shelter after their previous guardians were moving to non-pet friendly housing. They lived in a home with children under 12 years old and women. Their favorite activity is playing with each other. Both cats have a history of reliably using the litterbox in their previous home. Ash and Rosie have not lived with other animals besides ach other. They were indoors and outdoors in their previous home. A home that allows for indoor/outdoor access after a period of acclimation may be a fit. Ash and Rosie play, eat, and sleep together and are looking for their adoptive home together! ",2023-11-24
A274682,"https://petharbor.com/detail.asp?ID=A274682&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A274682&LOCATION=SNCR,rosie,Female/Spayed,gray,russian blue mix,3 years old,8.5,S F10,True,True,3,,,,2023-10-25,"Ash and Rosie were surrendered to the Shelter after their previous guardians were moving to non-pet friendly housing. They lived in a home with children under 12 years old and women. Their favorite activity is playing with each other. Both cats have a history of reliably using the litterbox in their previous home. Ash and Rosie have not lived with other animals besides ach other. They were indoors and outdoors in their previous home. A home that allows for indoor/outdoor access after a period of acclimation may be a fit. Ash and Rosie play, eat, and sleep together and are looking for their adoptive home together! ",2023-11-24
A303602,"https://petharbor.com/detail.asp?ID=A303602&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A303602&LOCATION=SNCR,malala,Female/Spayed,gray tabby,domestic shorthair,4 months old,1.6,S K12,True,True,,4,,,2023-09-23,"Malia and Malala are best friends & full to the brim with kitten energy! They are twins, but once you get to know them you can tell them apart (both subtle looks and personality differences). Malia is a bit lighter with more white in her stripes and Malala has more brown and a bit more fluff to her. They provide non-stop smiles for their human friends with their goofy jumps and tumbles. They also LOVE to be with people and aren't afraid to tell you how much. Because of their playful energy, these sisters would probably be happiest to find a forever home together, so they still have someone to play with once their human family members get tired out. But I'm sure they will adapt to wherever they land, so long as there's lots of love!",2023-11-24
A303605,"https://petharbor.com/detail.asp?ID=A303605&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A303605&LOCATION=SNCR,malia,Female/Spayed,gray tabby,domestic shorthair,4 months old,1.7,S K12,True,True,,4,,,2023-09-23,"Malia and Malala are best friends & full to the brim with kitten energy! They are twins, but once you get to know them you can tell them apart (both subtle looks and personality differences). Malia is a bit lighter with more white in her stripes and Malala has more brown and a bit more fluff to her. They provide non-stop smiles for their human friends with their goofy jumps and tumbles. They also LOVE to be with people and aren't afraid to tell you how much. Because of their playful energy, these sisters would probably be happiest to find a forever home together, so they still have someone to play with once their human family members get tired out. But I'm sure they will adapt to wherever they land, so long as there's lots of love!",2023-11-24
A303680,"https://petharbor.com/detail.asp?ID=A303680&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A303680&LOCATION=SNCR,cannoli,Male,org tiger & white,domestic shorthair,6 months old,1.25,S CATIO,False,False,,6,,,2023-09-09,"Meet Cannoli! This sweet guy originally came to the Shelter as a fearful kitten. He has had dedicated fosters, volunteers and staff work with him to help boost his confidence. Cannoli is still a bit hesitant but warms up with the help of Churu treats and confident feline companions. Cannoli will thrive in a home with other friendly felines to lead the way. A home with young kids and exuberant dogs is likely not a fit. If you are looking for a sensitive little sweetheart to complete your home - come meet Cannoli!",2023-11-24
A304041,"https://petharbor.com/detail.asp?ID=A304041&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304041&LOCATION=SNCR,penelope,Female,brn tiger,domestic mediumhair,"2 years, 1 month old",7.25,S F09,False,True,2,2,,,2023-10-12,Meet Penelope! Penelope came into the Shelter with her kittens in tow. She has weaned her kittens and is now looking for a home of her own. Here is what her foster family said about her: “Penelope is very friendly to both kids and adults. She is talkative and full of purrs. Gives lots of sweet head butts for pets!” Penelope appreciates being the only kitty in the home.,2023-11-24
A304544,"https://petharbor.com/detail.asp?ID=A304544&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304544&LOCATION=SNCR,jupiter,Male,gray tiger & pastel,domestic shorthair,8 months old,5.3,S F44,False,False,,8,,,2023-11-04,"Jupiter started out shy but is becoming more confident every day. He is nervous about someone reaching toward him and being picked up, but once he is in your arms, he purrs and cuddles like crazy. He loves wand toys, squeaky toys, soft and squishy toys, tissue paper and pipe cleaners--Jupiter willing to play with just about anything. He gets a big burst of teenage energy in the evening and burns it off by tearing through the house. Jupiter will need someone who can be patient and slow with him in the beginning, but he has a lot of love to give.",2023-11-24
A304859,"https://petharbor.com/detail.asp?ID=A304859&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304859&LOCATION=SNCR,clam,Female/Spayed,brn tabby,domestic shorthair,3 months old,1.6,S F24,True,True,,3,,,2023-10-27,"Get ready to meet the ocean's finest feline ambassadors! Clam* came to us from a litter of stray kittens who ""washed up"" without their mama. We placed this litter with a talented foster parent who was able to syringe-feed them until they were old enough to eat and drink on their own. These kittens are playful, social, and able to go together or separate. A home with existing pets would be welcome following a slow and thoughtful introduction. Are you ready to provide a safe harbor for one (or more) of these remarkable ocean-named kittens? They are all eager to embark on their forever journey with you.",2023-11-24
A304933,"https://petharbor.com/detail.asp?ID=A304933&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304933&LOCATION=SNCR,rosie,Female,black & white,domestic shorthair,3 years old,10.7,S F16,False,True,3,,,,2023-10-10,"Meet Rosie! Rosie came to the Shelter with her kids in tow! She spent some time in a foster home helping them grow big and strong. Her foster reports that she is a sweet gal. Rosie is a pretty easy going gal who is now ready for a home of her own. An indoor home where she can look out the window, climb up on climbing structures and sunbath are on her list of “wants”. We do not have any history of Rosie with other animals or children. ",2023-11-24
A304934,"https://petharbor.com/detail.asp?ID=A304934&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304934&LOCATION=SNCR,elsie,Female,black & white,domestic shorthair,3 months old,1.6,S F21,False,True,,3,,,2023-10-10,"Meet Elsie! Elsie came to the Shelter with her mom and siblings. Elsie was underage when she arrived so she went into a loving foster home to gain weight and prepare for her adoptive home. Elsie is now an adorable, outgoing kitten who is looking to jump into her adoptive home. A home with other cats, cat-savvy dogs, and children may be a fit provided there is a thoughtful, slow introduction. ",2023-11-24
A304953,"https://petharbor.com/detail.asp?ID=A304953&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304953&LOCATION=SNCR,serotonin,Female,tortie,domestic shorthair,"2 years, 2 months old",8.0,S F03,False,True,2,2,,,2023-10-06,"Have the seasonal changes been affecting your mood? Meet Serotonin!This gorgeous tortie is guaranteed to lift your spirits. Serotonin came into the Shelter after being found as a stray. She was nursing her young kittens. Unable to continue caring for this family, the good Samaritan brought the kitties to the Shelter for further care. Serotonin is a staff favorite. She enjoys hanging out and looking out the windows at the world passing by. We do not have any history of her with other cats. A home with other cats may be a fit with a slow introduction and management. We do not have any history of her with dogs or children. ",2023-11-24
A304987,"https://petharbor.com/detail.asp?ID=A304987&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304987&LOCATION=SNCR,kanga,Female,black & white,domestic shorthair,"2 years, 2 months old",8.0,S F04,False,True,2,2,,,2023-09-08,"Meet Kanga & Roo! (see what we did there?!)This mother – son duo originally came to the Shelter as strays. They are a quiet, demure set of kitties who are looking for a quiet home to blossom in. We do not have any history of Kanga or Roo with other cats. Due to their shy nature, a home with dogs and/or kids is not recommended. Kanga and Roo are bonded and required to go to a home together. Kanga & Roo's adoption fee is 2 for 1. Their adoption fee is also reduced b $20 thanks to the Laurie Roberts Bogey Fund - a fund to draw adopter's eyes towards the often overlooked black cats and kittens in Shelters.",2023-11-24
A304989,"https://petharbor.com/detail.asp?ID=A304989&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A304989&LOCATION=SNCR,roo,Male,black & orange,domestic shorthair,7 months old,5.0,S F01,False,False,,7,,,2023-09-08,"Meet Kanga & Roo! (see what we did there?!)This mother – son duo originally came to the Shelter as strays. They are a quiet, demure set of kitties who are looking for a quiet home to blossom in. We do not have any history of Kanga or Roo with other cats. Due to their shy nature, a home with dogs and/or kids is not recommended. Kanga and Roo are bonded and required to go to a home together. Kanga & Roo's adoption fee is 2 for 1. Their adoption fee is also reduced b $20 thanks to the Laurie Roberts Bogey Fund - a fund to draw adopter's eyes towards the often overlooked black cats and kittens in Shelters.",2023-11-24
A305048,"https://petharbor.com/detail.asp?ID=A305048&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A305048&LOCATION=SNCR,mitts,Male,brn tabby,domestic shorthair,8 months old,5.9,FOSTER,False,False,,8,,,2023-09-11,"Meet Mitts & Triumph. These two older kittens came to the Shelter separately but have since been paired together. They are the ying to each other’s yang. Triumph was a nervous bean when he first arrive. Mitts has been a social butterfly from day 1. By pairing these two together, Mitts shows Triumph that the world is not that scary and that people give real good scritches. We do not have any history of these two with animals outside of each other. ",2023-11-24
A305089,"https://petharbor.com/detail.asp?ID=A305089&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A305089&LOCATION=SNCR,triumph,Male,gray & white,domestic mediumhair,6 months old,4.0,FOSTER,False,False,,6,,,2023-09-12,"Meet Mitts & Triumph. These two older kittens came to the Shelter separately but have since been paired together. They are the ying to each other’s yang. Triumph was a nervous bean when he first arrive. Mitts has been a social butterfly from day 1. By pairing these two together, Mitts shows Triumph that the world is not that scary and that people give real good scritches. We do not have any history of these two with animals outside of each other. ",2023-11-24
A305092,"https://petharbor.com/detail.asp?ID=A305092&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A305092&LOCATION=SNCR,gus,Male/Neutered,brn tabby & white,domestic shorthair,"1 year, 2 months old",12.8,S CATIO,True,False,1,1,,,2023-09-12,"Meet Gus! This handsome gent came into the Shelter from a property where there were friendly cats and not a lot of spaying and/or neutering happening. Thanks to our animal control team, we have brought in several of the kitties so they can find safe, indoor homes and get all the TLC they deserve. Gus would likely do well in a home with other cats with a slow introduction and management. We do not have any history of Gus with dogs or children.",2023-11-24
A305094,"https://petharbor.com/detail.asp?ID=A305094&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A305094&LOCATION=SNCR,dahlia,Female/Spayed,gray tabby & white,domestic shorthair,"1 year, 7 months old",7.0,S CATIO,True,True,1,1,,,2023-09-12,"Meet Dahlia! This sweet gal came into the Shelter from a property where there were friendly cats and not a lot of spaying and/or neutering happening. Thanks to our animal control team, we have brought in several of the kitties so they can find safe, indoor homes and get all the TLC they deserve. Dahlia would likely do well in a home with other cats with a slow introduction and management. We do not have any history of Dahlia with dogs or children.",2023-11-24
A305095,"https://petharbor.com/detail.asp?ID=A305095&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=139&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_CAT",https://petharbor.com/get_image.asp?RES=Detail&ID=A305095&LOCATION=SNCR,lotus,Female/Spayed,black & white,domestic shorthair,11 months old,7.7,S CATIO,True,True,,11,,,2023-09-12,"The lotus flower is a symbol for purity, grace and beauty. Well, our adoptable feline Lotus embodies the lotus flower in personality. She is sweet and demure. She originally came in as a stray found on a property where there were quite a few kitties. A home with other cats may be a fit with a slow introduction and management. Lotus is looking for a home to blossom in. Could that be yours?Lotus' adoption fee is reduced by $20 thanks to the Laurie Roberts Bogey Fund - a fund to draw adopter's eyes towards the often overlooked black cats and kittens in Shelters.",2023-11-24
