ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A225342,"https://petharbor.com/detail.asp?ID=A225342&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A225342&LOCATION=SNCR,lily,Female/Spayed,black & tan,siberian husky mix,9 years old,38.0,FOSTER,True,True,9,,,,2023-10-18,"Meet Lily! This spirited senior husky is looking for a fun-loving home to live out her golden years. She is currently in a foster home with a family including some young children. Here is what her foster family has to say: ""She is a lot of fun! She rides nicely in the car. With potty breaks every 4 hours, she is getting in the routine and has not had an accident in the house. She is getting used to the routine of getting her leash on and walks nicely on leash. She is friendly, loving and happy. Also very playful and energetic! I still cannot believe she is a granny. She is getting along with my 4 year old and occasionally they play together now!""Lily has enjoyed playing with dogs in the Shelter and has gone out on walks with them. A home with any resident dogs is likely a fit provided they meet at the Shelter prior to adoption. We do not recommend Lily live in a home with cats or small animals due to some observed prey drive. A home with sturdy children is likely a fit but they are recommended to meet at the Shelter prior to adoption.",2023-11-16
A296962,"https://petharbor.com/detail.asp?ID=A296962&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A296962&LOCATION=SNCR,rocky,Male/Neutered,white & brown,pit bull terrier mix,"1 year, 6 months old",46.0,S 19,True,False,1,1,,,2023-10-31,"Meet Rocky! This wrinkly sweetheart came to the Shelter after his guardian was unable to continue caring for him. He has been an A+ resident at the Shelter since his arrival. He has been calm in his kennel, easy to walk on leash and playful in the yard. Staff have observed that he is very affectionate. Rocky lived with two cats in his most recent home and did well with them. A home with dog-savvy cats and a slow introduction may be a fit! He enjoyed playing with dogs in his previous home and has met dogs at the Shelter. A home with a canine companion may be a fit but dogs are recommended to meet at the Shelter prior to adoption. Rocky is known to try to give people kisses. Rocky would do well in a variety of homes and is ready to be someone’s sidekick. Could that be you?",2023-11-16
A304499,"https://petharbor.com/detail.asp?ID=A304499&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A304499&LOCATION=SNCR,alpine,Male,white & brown,australian cattle dog mix,5 months old,33.3,FOSTER,False,False,,5,,,2023-10-25,"Meet Alpine! Alpine is a sweet but undersocialized pup who is looking for a patient adopter to help him blossom. He is currently in a foster home so we can learn more about him: ""Alpine is doing pretty well. Fine with my dogs. Is respectful, and takes direction from them. Has warmed up to me and is starting to warm to my husband Appears to be potty trained. Slept all night in his crate with no fuss."" Alpine may do well in a home with another dog-savvy dog that can be his bud. He would thrive in an adults only home with a patient adopter that will continue boosting his confidence through positive reinforcement based training. Interested in meeting Alpine? Come into the Shelter today to set up a meet and greet.",2023-11-16
A305284,"https://petharbor.com/detail.asp?ID=A305284&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A305284&LOCATION=SNCR,stella,Female/Spayed,black & brown,german shepherd dog,6 months old,27.0,FOSTER,True,True,,6,,,2023-10-10,"Meet stellar Stella! Stella is a smart cookie who is looking for a home to thrive in. She originally came into the Shelter as quite the unruly teenager. This was understandable since she didn’t know exactly what to do and or when to do it. With some committed staff members, enrichment and socialization – Stella has started to get some tools under her belt to be the best canine citizen she can be. This girl is super smart and already knows “sit”. She would love to learn more through positive reinforcement based training with her new family. She enjoys going to playgroup with dog friends and would love to have a canine pal to rough and tumble with in the home OR access to playful dogs on a regular basis for playdates. When Stella is over tired, under stimulated, or bored – she tends to jump up on people and mouth them. This can be startling to some people, understandably but to Stella – she is trying to communicate. When her needs are met (play, training, rest), the jumpy/mouthy behavior does not usually occur. Adopters are recommended to be dog-savvy and understanding. We do not have any history of Stella with cats. A dog-savvy cat and a slow introduction may be a fit. Older, dog-savvy kids are recommended for Stella. Looking for a smart cookie to sweeten up your home? Come meet Stella today.",2023-11-16
A305425,"https://petharbor.com/detail.asp?ID=A305425&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A305425&LOCATION=SNCR,roxy,Female/Spayed,red & white,siberian husky,6 months old,21.7,S 14,True,True,,6,,,2023-11-13,"Roxy came to the Shelter as an owner surrender with an injury to her leg after jumping off the couch wrong. Medical staff observed her and determined that she had a partially healed fracture of her right rear leg. This multi-colored eye, petite husky has healed, but she still has a little limp and stiffness. This does not slow her down at all! This gal has a high energy level and is smart so would benefit from an adopter who will provide above average daily mental and physical stimulation. Her foster mom says she loves outings and her daily positive behavior reinforcement training. Roxy is eager to please. She knows “sit” and “look” and is working on “come” as well as her puppy mouthing when she gets excited. She sleeps through the night in a crate and is very food motivated. She is currently in potty training and is doing awesome on a schedule. Small animals in the home are not recommended since she does not understand her own strength and is still learning what is appropriate to do when she gets excited. She loves to play with other medium to large size dogs in a rough and tumble fashion. Any kids in the home are recommended to be older and dog savvy. On a schedule of proper mental and physical stimulation, her foster mom says she will lay calmly at her feet and rest or chew on her toys. Does she sound like the perfect addition to your home? Since she is in foster, you get to make an appointment in accordance to your schedule to meet her at the animal shelter. Come make an appointment today!",2023-11-16
A305507,"https://petharbor.com/detail.asp?ID=A305507&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A305507&LOCATION=SNCR,luna,Female,sable & white,german shepherd dog and siberian husky,1 year,46.2,FOSTER,False,True,1,,,,2023-09-23,"Beautifal Luna lost her outdoor home when her family moved and their new property did not allow her. She has done well with kids 4-14 years old and she loves to play with balls and go for walks. In the shelter, she's been a little uncertain of new environments and a bit nervous going out for walks with new people, and she doesn't seem very experienced having contact with other dogs. But she has a soft and friendly temperment, so she'll just need a home that understands that some dogs need a little more time to acclimate to new people and circumstances. She'll thrive if she's kept on a routine and provided with positive socialization and training to boost her confidence. Come meet Luna!",2023-11-16
A306065,"https://petharbor.com/detail.asp?ID=A306065&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306065&LOCATION=SNCR,fallon,Female,white,siberian husky,9 months old,46.0,S 18,False,True,,9,,,2023-11-14,"Meet Fallon! This adolescent husky came to the Shelter as a stray so we do not know much about her life before now. A good Samaritan found her in Watsonville by Manresa Beach and held onto her for a couple days while trying to find her guardian. She did well with the resident dogs and 2 year old child in the home. She even saw a cat and didn’t chase it! Staff have observed that Fallon Is an active, playful puppy who would benefit from a guardian that will commit to positive reinforcement based training to help her gain some life skills and manners. She is still working on her leash and house training. If there is a resident dog in the home, it is recommended that they meet prior to adoption. Fallon would likely enjoy a playmate in the home. Fallon is currently hanging out in a foster home to take a break from the Shelter. Here is what her foster parent reports: ""Fallon is an absolute delight. She is friendly with everyone- kids, strangers, and loves making friends with other dogs. She has not barked, growled, or shown any aggression whatsoever. We’ve been to Nisene marks, East cliff and Henry Cowell and she loves everyone she meets. She is not aggressive towards the chickens as well. She loves playing with toys and chasing the ball. She sleeps through the night on a bed on the floor next to mine. She was nervous to come inside the house at first, I would guess she was not allowed inside in her previous home. She has gradually become more comfortable and comes inside by herself just after 2 days. She has been super chill and just happy and sweet. What a gem!!!!""",2023-11-16
A306106,"https://petharbor.com/detail.asp?ID=A306106&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306106&LOCATION=SNCR,sierra,Female/Spayed,white,german shepherd dog mix,"2 years, 1 month old",53.0,S 16,True,True,2,2,,,2023-10-12,Meet Sierra! This shepherd mix came to the Shelter as a stray found in Watsonville. Nobody came forward to reclaim so this cutie went up for adoption. Sierra has been social and outgoing with staff since entering the Shelter. She has played with other dogs that she has met and does have a bit of a rough play style. A home with another dog that enjoys tactile playing may be a fit provided the dogs meet at the Shelter prior to adoption. We do not have any history of Sierra with cats or children.,2023-11-16
A306135,"https://petharbor.com/detail.asp?ID=A306135&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306135&LOCATION=SNCR,nala,Female,brown & black,belgian tervuren,"2 years, 7 months old",65.0,S 05,False,True,2,2,,,2023-10-13,"Meet Nala! Nala came to the Shelter as an owner surrender after her previous guardian was unable to continue caring for her. She came into the Shelter with another dog, Palomo. Nala has lived in a home with children ages 6 years and older and has done well. She sometimes would jump up on the kids with exuberance so a home with sturdy kids is recommended. Nala previously was outdoors only and did not go for walks off the property. Because of this, she is undersocialized with new environments and new dogs. Nala can be reactive with new dogs. A home with a dog another dog-savvy dog may be a fit with a slow, thoughtful introduction and management. Nala has a history of chasing cats so a home without cats and/or small animals is recommended. Nala has shown the ability to scale and jump over 6 foot fences during her time at the Shelter. Because of this, adopters should be mindful not to leave Nala unattended outdoors to prevent any attempts at escaping. Daily physical and mental stimulation will also help to set Nala up for success.",2023-11-16
A306136,"https://petharbor.com/detail.asp?ID=A306136&LOCATION=SNCR&searchtype=ADOPT&friends=1&samaritans=1&nosuccess=0&rows=34&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&bgcolor=white&text=black&link=blue&alink=purple&vlink=purple&fontface=arial&fontsize=10&col_hdr_bg=silver&col_hdr_fg=black&col_bg=white&col_fg=black&SBG=silver&miles=200&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306136&LOCATION=SNCR,palomo,Male,yellow,labrador retriever and german shepherd dog,"1 year, 7 months old",69.6,S 10,False,False,1,1,,,2023-10-13,"Meet Palomo! Palomo came to the Shelter as an owner surrender after his previous guardian was unable to continue caring for him. He came into the Shelter with another dog, Nala. Palomo has lived in a home with children ages 6 years and older and has done well. Palomo has been a social butterfly since coming to the Shelter. He fully leans his body on people when being pet and wants to say hi to everyone he encounters. Palomo previously was outdoors only and did not go for walks off the property. Because of this, he is undersocialized with new environments and new dogs. Palomo does seem interested and may do well in a home with a dog-savvy dog after a slow, thoughtful introduction. Palomo has a history of chasing cats so a home without cats and/or small animals is recommended. Daily physical and mental stimulation will also help to set Nala up for success.",2023-11-16
