ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A225342,"https://petharbor.com/detail.asp?ID=A225342&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A225342&LOCATION=SNCR,lily,Female/Spayed,black & tan,siberian husky mix,9 years old,38.0,FOSTER,True,True,9,,,,2023-10-18,"Meet Lily! This spirited senior husky is looking for a fun-loving home to live out her golden years. She is currently in a foster home with a family including some young children. Here is what her foster family has to say: ""She is a lot of fun! She rides nicely in the car. With potty breaks every 4 hours, she is getting in the routine and has not had an accident in the house. She is getting used to the routine of getting her leash on and walks nicely on leash. She is friendly, loving and happy. Also very playful and energetic! I still cannot believe she is a granny. She is getting along with my 4 year old and occasionally they play together now!""Lily has enjoyed playing with dogs in the Shelter and has gone out on walks with them. A home with any resident dogs is likely a fit provided they meet at the Shelter prior to adoption. We do not recommend Lily live in a home with cats or small animals due to some observed prey drive. A home with sturdy children is likely a fit but they are recommended to meet at the Shelter prior to adoption.",2023-11-16
A265219,"https://petharbor.com/detail.asp?ID=A265219&LOCATION=SNCR1&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A265219&LOCATION=SNCR1,kilo,Male/Neutered,gray & white,pit bull terrier,8 years old,63.0,W 04,True,False,8,,,,2023-11-14,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-16
A284205,"https://petharbor.com/detail.asp?ID=A284205&LOCATION=SNCR1&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A284205&LOCATION=SNCR1,dooby,Male/Neutered,black,chihuahua - smooth coated,3 years old,,W 04,True,False,3,,,,2023-11-14,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-16
A304499,"https://petharbor.com/detail.asp?ID=A304499&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A304499&LOCATION=SNCR,alpine,Male,white & brown,australian cattle dog mix,5 months old,33.3,FOSTER,False,False,,5,,,2023-10-25,"Meet Alpine! Alpine is a sweet but undersocialized pup who is looking for a patient adopter to help him blossom. He is currently in a foster home so we can learn more about him: ""Alpine is doing pretty well. Fine with my dogs. Is respectful, and takes direction from them. Has warmed up to me and is starting to warm to my husband Appears to be potty trained. Slept all night in his crate with no fuss."" Alpine may do well in a home with another dog-savvy dog that can be his bud. He would thrive in an adults only home with a patient adopter that will continue boosting his confidence through positive reinforcement based training. Interested in meeting Alpine? Come into the Shelter today to set up a meet and greet.",2023-11-16
A305284,"https://petharbor.com/detail.asp?ID=A305284&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A305284&LOCATION=SNCR,stella,Female/Spayed,black & brown,german shepherd dog,6 months old,27.0,FOSTER,True,True,,6,,,2023-10-10,"Meet stellar Stella! Stella is a smart cookie who is looking for a home to thrive in. She originally came into the Shelter as quite the unruly teenager. This was understandable since she didn’t know exactly what to do and or when to do it. With some committed staff members, enrichment and socialization – Stella has started to get some tools under her belt to be the best canine citizen she can be. This girl is super smart and already knows “sit”. She would love to learn more through positive reinforcement based training with her new family. She enjoys going to playgroup with dog friends and would love to have a canine pal to rough and tumble with in the home OR access to playful dogs on a regular basis for playdates. When Stella is over tired, under stimulated, or bored – she tends to jump up on people and mouth them. This can be startling to some people, understandably but to Stella – she is trying to communicate. When her needs are met (play, training, rest), the jumpy/mouthy behavior does not usually occur. Adopters are recommended to be dog-savvy and understanding. We do not have any history of Stella with cats. A dog-savvy cat and a slow introduction may be a fit. Older, dog-savvy kids are recommended for Stella. Looking for a smart cookie to sweeten up your home? Come meet Stella today.",2023-11-16
A305425,"https://petharbor.com/detail.asp?ID=A305425&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A305425&LOCATION=SNCR,roxy,Female/Spayed,red & white,siberian husky,6 months old,21.7,S 14,True,True,,6,,,2023-11-13,"Roxy came to the Shelter as an owner surrender with an injury to her leg after jumping off the couch wrong. Medical staff observed her and determined that she had a partially healed fracture of her right rear leg. This multi-colored eye, petite husky has healed, but she still has a little limp and stiffness. This does not slow her down at all! This gal has a high energy level and is smart so would benefit from an adopter who will provide above average daily mental and physical stimulation. Her foster mom says she loves outings and her daily positive behavior reinforcement training. Roxy is eager to please. She knows “sit” and “look” and is working on “come” as well as her puppy mouthing when she gets excited. She sleeps through the night in a crate and is very food motivated. She is currently in potty training and is doing awesome on a schedule. Small animals in the home are not recommended since she does not understand her own strength and is still learning what is appropriate to do when she gets excited. She loves to play with other medium to large size dogs in a rough and tumble fashion. Any kids in the home are recommended to be older and dog savvy. On a schedule of proper mental and physical stimulation, her foster mom says she will lay calmly at her feet and rest or chew on her toys. Does she sound like the perfect addition to your home? Since she is in foster, you get to make an appointment in accordance to your schedule to meet her at the animal shelter. Come make an appointment today!",2023-11-16
A306065,"https://petharbor.com/detail.asp?ID=A306065&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306065&LOCATION=SNCR,fallon,Female,white,siberian husky,9 months old,46.0,S 18,False,True,,9,,,2023-11-14,"Meet Fallon! This adolescent husky came to the Shelter as a stray so we do not know much about her life before now. A good Samaritan found her in Watsonville by Manresa Beach and held onto her for a couple days while trying to find her guardian. She did well with the resident dogs and 2 year old child in the home. She even saw a cat and didn’t chase it! Staff have observed that Fallon Is an active, playful puppy who would benefit from a guardian that will commit to positive reinforcement based training to help her gain some life skills and manners. She is still working on her leash and house training. If there is a resident dog in the home, it is recommended that they meet prior to adoption. Fallon would likely enjoy a playmate in the home. Fallon is currently hanging out in a foster home to take a break from the Shelter. Here is what her foster parent reports: ""Fallon is an absolute delight. She is friendly with everyone- kids, strangers, and loves making friends with other dogs. She has not barked, growled, or shown any aggression whatsoever. We’ve been to Nisene marks, East cliff and Henry Cowell and she loves everyone she meets. She is not aggressive towards the chickens as well. She loves playing with toys and chasing the ball. She sleeps through the night on a bed on the floor next to mine. She was nervous to come inside the house at first, I would guess she was not allowed inside in her previous home. She has gradually become more comfortable and comes inside by herself just after 2 days. She has been super chill and just happy and sweet. What a gem!!!!""",2023-11-16
A306106,"https://petharbor.com/detail.asp?ID=A306106&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306106&LOCATION=SNCR,sierra,Female/Spayed,white,german shepherd dog mix,"2 years, 1 month old",53.0,S 16,True,True,2,2,,,2023-10-12,Meet Sierra! This shepherd mix came to the Shelter as a stray found in Watsonville. Nobody came forward to reclaim so this cutie went up for adoption. Sierra has been social and outgoing with staff since entering the Shelter. She has played with other dogs that she has met and does have a bit of a rough play style. A home with another dog that enjoys tactile playing may be a fit provided the dogs meet at the Shelter prior to adoption. We do not have any history of Sierra with cats or children.,2023-11-16
A306271,"https://petharbor.com/detail.asp?ID=A306271&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306271&LOCATION=SNCR,wonderbread,Male,yellow,labrador retriever,11 months old,63.0,S DQ05,False,False,,11,,,2023-10-19,Meet Wonderbread! This yellow lab came to the Shelter as a stray with lots of energy. He is clearly an juvenile with a ton of zest for life. He is very tactile and physical when excited and will often jump up and sometimes mouth people and things. A home with another playful dog will be a great fit for Wonderbread as it will provide daily enrichment of play and stimulation that people can likely not fit for this guy. He has made friends with other dogs at the Shelter and enjoys a game of chase as well as some light wrestling. Adopters should anticipate working on life skills and manners through positive reinforcement training such as house training and life skills. Adopters should anticipate providing above average mental and physical stimulation for Wonderbread to help meet his needs.,2023-11-16
A306282,"https://petharbor.com/detail.asp?ID=A306282&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=32&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_DOG",https://petharbor.com/get_image.asp?RES=Detail&ID=A306282&LOCATION=SNCR,freddie,Male/Neutered,black & white,labrador retriever and pit bull terrier,3 months old,15.0,S DI08,True,False,,3,,,2023-11-02,"Meet Freddie! This adorable pup came into the Shelter as stray. We suspect he is a lab mix but your guess for his breed is as good as ours. This adorable pup is looking for adopters to start him off on the right paw. Socialization, life skills and manners, and bonding are on the agenda for any new adopter. Adopters are required to utilize positive reinforcement based training to set their relationship up with this puppy up for success. A home with kids may be a fit. A home with dog-savvy cats may also be a fit with a slow introduction and management. Any resident dogs are recommended to meet prior to adoption as puppies can be overwhelming for some dogs!",2023-11-16
