ID,InfoLink,ImageLink,Name,Gender,Color,Breed,Age,Weight,Located,Treated,FemaleGender,AgeYear,AgeMonth,AgeWeek,AgeDay,ShelterSince,Comment,ScrapedOn
A304330,"https://petharbor.com/detail.asp?ID=A304330&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A304330&LOCATION=SNCR,dot,Female/Spayed,white & black,shorthaired rabbit,7 months old,4.6,S H09,True,True,,7,,,2023-08-16,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A305041,"https://petharbor.com/detail.asp?ID=A305041&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305041&LOCATION=SNCR,sandy,Female,agouti,shorthaired rabbit,6 months old,2.8,S H02,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A305043,"https://petharbor.com/detail.asp?ID=A305043&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305043&LOCATION=SNCR,oreo,Female,black & white,shorthaired rabbit,6 months old,2.4,S H06,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A305044,"https://petharbor.com/detail.asp?ID=A305044&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305044&LOCATION=SNCR,marble,Female,chocolate & gray,shorthaired rabbit,6 months old,2.6,S H03,False,True,,6,,,2023-10-13,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A305342,"https://petharbor.com/detail.asp?ID=A305342&LOCATION=SNCR1&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A305342&LOCATION=SNCR1, ,,yellow,chicken,2 months old,,W GR02,,,,2,,,2023-09-18,Santa Cruz County Animal Shelter - Watsonville at (831) 454-7303,2023-11-24
A306043,"https://petharbor.com/detail.asp?ID=A306043&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A306043&LOCATION=SNCR,eddie,Male/Neutered,black,shorthaired rabbit,1 year,6.0,S H07,True,False,1,,,,2023-10-10,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306657,"https://petharbor.com/detail.asp?ID=A306657&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A306657&LOCATION=SNCR,squirt,,brown,turtle,,,S EXOTICS,,,,,,,2023-11-03,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A306696,"https://petharbor.com/detail.asp?ID=A306696&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A306696&LOCATION=SNCR,reese's,Female,brown,shorthaired rabbit,,6.5,S H13,False,True,,,,,2023-11-04,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A307114,"https://petharbor.com/detail.asp?ID=A307114&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A307114&LOCATION=SNCR, ,,green,turtle,,,S EXOTICS,,,,,,,2023-11-17,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-24
A307346,"https://petharbor.com/detail.asp?ID=A307346&LOCATION=SNCR&searchtype=LOST&start=4&friends=1&samaritans=1&nosuccess=0&rows=9&imght=120&imgres=Detail&tWidth=200&view=sysadm.v_sncr&nobreedreq=1&bgcolor=ffffff&text=000000&fontface=arial&fontsize=10&col_hdr_bg=c0c0c0&SBG=c0c0c0&miles=20&shelterlist='SNCR','SNCR1'&atype=&where=type_OO",https://petharbor.com/get_image.asp?RES=Detail&ID=A307346&LOCATION=SNCR, ,Male,brown & agouti,shorthaired rabbit,,5.0,S F53,False,False,,,,,2023-11-27,Santa Cruz County Animal Shelter - Santa Cruz at (831) 454-7303,2023-11-28
